,0,1,2
893,2,8,-1
894,-1,8,2
895,-1,2,8
896,2,-1,8
897,2,3,6
898,3,2,6
899,6,3,2
900,2,6,3
901,3,6,2
902,6,2,3
903,2,2,7
904,7,2,2
905,2,7,2
906,5,1,5
907,5,5,1
908,1,5,5
909,6,1,4
910,4,6,1
911,1,4,6
912,4,1,6
913,1,6,4
914,6,4,1
915,1,8,-2
916,8,1,-2
917,8,-2,1
918,1,-2,8
919,-2,1,8
920,-2,8,1
921,3,1,7
922,3,7,1
923,7,3,1
924,1,3,7
925,7,1,3
926,1,7,3
927,-3,-3,-2
928,-2,-3,-3
929,-3,-2,-3
930,1,2,8
931,2,1,8
932,8,1,2
933,1,8,2
934,2,8,1
935,8,2,1
936,-3,-3,2
937,2,-3,-3
938,-3,2,-3
939,0,-3,6
940,6,0,-3
941,-3,6,0
942,6,-3,0
943,-3,0,6
944,0,6,-3
945,6,-1,-3
946,-1,-3,6
947,-1,6,-3
948,-3,-1,6
949,6,-3,-1
950,-3,6,-1
951,-2,-3,5
952,-2,5,-3
953,5,-2,-3
954,-3,-2,5
955,-3,5,-2
956,5,-3,-2
957,4,-3,3
958,3,4,-3
959,-3,4,3
960,4,3,-3
961,-3,3,4
962,3,-3,4
963,5,2,-3
964,2,5,-3
965,-3,2,5
966,5,-3,2
967,-3,5,2
968,2,-3,5
969,0,5,6
970,5,6,0
971,5,0,6
972,6,5,0
973,6,0,5
974,0,6,5
975,7,4,0
976,4,7,0
977,4,0,7
978,7,0,4
979,0,4,7
980,0,7,4
981,6,5,-1
982,-1,6,5
983,5,6,-1
984,6,-1,5
985,5,-1,6
986,-1,5,6
987,-2,5,5
988,5,5,-2
989,5,-2,5
990,4,6,-2
991,6,-2,4
992,-2,6,4
993,-2,4,6
994,4,-2,6
995,6,4,-2
996,4,7,-1
997,7,4,-1
998,-1,7,4
999,-1,4,7
1000,4,-1,7
1001,7,-1,4
1002,-2,8,-2
1003,8,-2,-2
1004,-2,-2,8
1005,4,4,4
1006,3,0,8
1007,8,3,0
1008,0,8,3
1009,0,3,8
1010,3,8,0
1011,8,0,3
1012,5,3,4
1013,3,4,5
1014,4,3,5
1015,3,5,4
1016,4,5,3
1017,5,4,3
1018,7,-2,3
1019,-2,3,7
1020,7,3,-2
1021,-2,7,3
1022,3,7,-2
